  -0.913422370E-02  0.860352661E-02  0.122019934E+00 -0.122492643E+00
  -0.900950088E-02  0.847893846E-02  0.124644252E+00 -0.124662066E+00
  -0.888466245E-02  0.835452854E-02  0.124759763E+00 -0.124483690E+00
  -0.875966596E-02  0.823026578E-02  0.124917698E+00 -0.124336433E+00
  -0.863451081E-02  0.810614941E-02  0.125076229E+00 -0.124189915E+00
  -0.850919855E-02  0.798218103E-02  0.125233204E+00 -0.124041810E+00
  -0.838372721E-02  0.785835830E-02  0.125392160E+00 -0.123896035E+00
  -0.825809842E-02  0.773468312E-02  0.125549470E+00 -0.123748369E+00
  -0.813230952E-02  0.761115281E-02  0.125709454E+00 -0.123603375E+00
  -0.800636292E-02  0.748777015E-02  0.125867031E+00 -0.123455615E+00
  -0.788025584E-02  0.736453198E-02  0.126027373E+00 -0.123311004E+00
  -0.775399033E-02  0.724144035E-02  0.126185675E+00 -0.123164347E+00
  -0.762756360E-02  0.711849256E-02  0.126346763E+00 -0.123020387E+00
  -0.750097790E-02  0.699569112E-02  0.126505601E+00 -0.122873922E+00
  -0.737423152E-02  0.687303327E-02  0.126666142E+00 -0.122730200E+00
  -0.724732351E-02  0.675052239E-02  0.126827639E+00 -0.122583110E+00
  -0.712025592E-02  0.662815397E-02  0.126987093E+00 -0.122440539E+00
  -0.699302679E-02  0.650593006E-02  0.127148503E+00 -0.122295920E+00
  -0.686563607E-02  0.638384935E-02  0.127309955E+00 -0.122152594E+00
  -0.673808359E-02  0.626191315E-02  0.127471584E+00 -0.122007964E+00
  -0.661036948E-02  0.614011949E-02  0.127633079E+00 -0.121865299E+00
  -0.648249272E-02  0.601846953E-02  0.127795592E+00 -0.121721487E+00
  -0.635445367E-02  0.589696164E-02  0.127957751E+00 -0.121579295E+00
  -0.622625218E-02  0.577559716E-02  0.128120055E+00 -0.121435774E+00
  -0.609788743E-02  0.565437444E-02  0.128283185E+00 -0.121293889E+00
  -0.596935964E-02  0.553329535E-02  0.128446077E+00 -0.121150142E+00
  -0.584066772E-02  0.541235688E-02  0.128610087E+00 -0.121009401E+00
  -0.571181236E-02  0.529156092E-02  0.128773384E+00 -0.120866786E+00
  -0.558279225E-02  0.517090542E-02  0.128937999E+00 -0.120726185E+00
  -0.545360848E-02  0.505039259E-02  0.129101518E+00 -0.120583407E+00
  -0.532425909E-02  0.493001906E-02  0.129267004E+00 -0.120443984E+00
  -0.519474575E-02  0.480978801E-02  0.129430813E+00 -0.120301395E+00
  -0.506506736E-02  0.468969532E-02  0.129595716E+00 -0.120162904E+00
  -0.493522254E-02  0.456974475E-02  0.129762010E+00 -0.120020666E+00
  -0.480521288E-02  0.444993327E-02  0.129926735E+00 -0.119881458E+00
  -0.467503644E-02  0.433026274E-02  0.130093369E+00 -0.119740394E+00
  -0.454469401E-02  0.421073044E-02  0.130259222E+00 -0.119602032E+00
  -0.441418485E-02  0.409133879E-02  0.130425803E+00 -0.119461272E+00
  -0.428350904E-02  0.397208514E-02  0.130592324E+00 -0.119323153E+00
  -0.415266607E-02  0.385297137E-02  0.130759336E+00 -0.119183148E+00
  -0.402165531E-02  0.373399497E-02  0.130926983E+00 -0.119045651E+00
  -0.389047688E-02  0.361515800E-02  0.131094524E+00 -0.118906115E+00
  -0.375913041E-02  0.349645783E-02  0.131262413E+00 -0.118769185E+00
  -0.362761580E-02  0.337789722E-02  0.131430411E+00 -0.118629519E+00
  -0.349593251E-02  0.325947280E-02  0.131598959E+00 -0.118493196E+00
  -0.336408058E-02  0.314118712E-02  0.131767446E+00 -0.118354340E+00
  -0.323205924E-02  0.302303731E-02  0.131936724E+00 -0.118218348E+00
  -0.309986881E-02  0.290502580E-02  0.132105670E+00 -0.118079926E+00
  -0.296750792E-02  0.278714923E-02  0.132275986E+00 -0.117944868E+00
  -0.283497783E-02  0.266941092E-02  0.132445041E+00 -0.117806495E+00
